location,hospitality,facilities,cleanliness,value for Money,food,price,overallrating
3.6,3.7,3.8,3.9,3.8,3.9,700,3.8
4.2,4.2,4.4,4.5,4.2,2.8,1900,4.3
4.7,4.1,4,3.8,4,4,2400,4.1
4,3.6,3.6,3.8,3.5,3.9,1200,3.8
3.6,3.5,3.6,4,3.6,3.9,1200,4
3.2,2.9,3.6,3.2,2.6,1,1000,3
3.9,3.6,3.6,3.4,3.4,4,1800,3.7
4,3.6,3.6,3.9,3.7,3.6,1500,4
3.9,3.7,4.2,3.6,3.9,4,1600,3.9
3.6,3.5,3.5,3.6,3.6,3,1080,4
3.6,3.6,3.5,3.2,3.9,3,1000,3.4
4.2,3.4,3.9,3.5,3.9,3.5,2300,3.7
3.9,3.6,3.7,3.6,3.4,3,1150,4
4,3.5,3.7,3,4,3,2050,3.9
4,2,3,3,3.1,3.6,1650,3.3
4.3,3,3.4,3.5,3.4,4,2000,3.6
2.7,3.8,4,3.7,4,3.5,750,3.8
3.6,3.9,4,3.9,4,3.8,1150,3.9
4.4,3.5,3.7,3.5,3.7,4,1300,3.9
4.1,3.4,3.6,3.6,3.6,4.4,700,3.7
3.5,3.5,3.8,3.4,3.7,3.3,700,3.5
4,3.6,4,3.6,3.6,3.8,1300,3.9
3.1,2.8,3,3.2,3,2.8,750,3.1
4,3.7,3.8,3.7,3.8,3.6,800,3.8
3.5,3.6,3.8,3.8,3.8,3.9,700,3.7
2.9,3.5,3.6,3.9,3.6,3.9,750,3.7
3.5,3.1,3.2,3.2,3.1,2.4,1200,3.2
4,3.5,3.6,3.8,3.7,3.6,800,3.9
3.8,3.6,4,3.9,3.9,3.5,1700,3.8
3.5,3.4,4,3.6,3.5,3.7,1000,3.5
3.5,2.4,2.5,2.4,2.5,4,675,2.6
2.9,2.3,2.6,2.4,2.9,2,750,2.6
4.7,3.8,4.1,3.8,3.9,4.4,4000,4
3.7,3.4,4,4,4.1,3,1650,3.7
3.8,3,3.1,2.9,3.1,3.4,1000,3.2
4.4,3.9,4,4,4.1,4,1800,4.1
3.6,3.9,3.9,3.8,3.5,3,1500,3.9
2.9,2.6,2.5,2.9,2.9,2,500,3
3.8,3.4,3.4,3.5,3.5,3.1,1800,3.6
3.4,2.5,2.8,2.5,2.5,2.2,900,2.8
3.1,2.3,2.6,2.5,2.6,3,800,2.6
3.5,3,3,3.5,3,2,1500,3.2
3.9,3.4,3.6,3.5,3.6,3.7,1250,3.6
3,2.9,2.6,2.6,3,2,950,2.8
3.6,2.8,2.9,2.8,3,2.4,1100,3
3.2,2.2,2.4,2.1,2.4,1,1000,2.4
4.1,4.2,4,3.9,4,3.9,2000,4
3.1,2.2,2.5,2.2,2.5,3.3,600,2.6
3.4,2.9,3.1,2.9,3.1,3.1,1100,3.1
4.5,4.1,4.4,4.1,4.4,4.3,1900,4.3
4,4,4,3.9,3.9,4,1800,4.1
4,3.9,3.9,4,3.9,4.1,2700,4
4.5,4.1,4.2,4.4,4.2,4.4,2000,4.3
4.5,4.2,4.3,4.4,4.3,4.3,1850,4.3
4.6,4.3,4.2,4.5,4.1,4.2,6000,4.3
4.2,4.3,4.2,3.9,3.9,4,3000,4.2
4,3.4,3.8,3.5,3.8,3.9,1500,3.6
3.7,3.8,4,4,4.1,4,1000,3.9
4.1,4.1,74.3,4.3,4.3,3.8,1250,4.2
4.3,4,4.5,4.3,4.5,4,1350,4.4
4.2,3.8,3.9,4.2,3.9,4.2,1900,4
4.2,4.1,3.9,4,3.9,4,1600,3.9
4.4,3.3,3.6,3.6,3.6,3.3,1200,3.7
4.3,3.8,4.1,4.1,4.1,4.2,2200,4.1
4,4,4.1,4.3,4.1,4.1,1500,4.2
4,4.1,4.1,4.3,4,3.9,1500,3.9
4.2,3.8,4.1,3.9,4.1,3.6,1800,4
3.8,3.3,3.5,3.5,3.6,2.9,1700,3.5
4.2,3.7,4.1,3.8,4.1,3.8,1600,3.9
4.4,3.6,3.9,3.8,3.8,3.5,1600,3.8
4,3.1,3.4,3.4,3.4,2.6,1300,3.5
3.7,4,4.2,4.3,4.2,3.2,1000,4.2
4.5,3.7,3.8,3.7,3.8,4,1200,3.9
3.7,3.2,3.4,3.3,3.4,3.6,2000,3.4
3,3.2,3.3,3.3,3.3,3.1,1000,3.2
4.2,2.8,3.3,3.5,3.3,3.3,1700,3.4
4.4,3.5,3.6,4.1,3.6,3.3,2000,3.8
4.2,3.7,4.2,4.2,4.3,4.2,2500,4
4.3,3.5,3.7,3.8,3.7,3.4,1200,3.8
4.6,4,4.3,4.4,4.3,3.7,800,4.3
3.6,3.9,4.1,4.3,4.1,3.8,900,4
3,4,3,3,3,3.1,1200,3.4
4.4,3.5,3.6,3.8,3.6,3.6,2100,3.8
4.2,3.2,4,3.5,4,4,1700,3.7
4.2,3.7,4.1,4,4.1,3.2,1200,4
4.1,3.6,3.1,3.6,3.1,4,700,3.8
3.4,3.5,4.2,3.5,3.8,3.8,1700,3.5
4.1,3.9,4.1,4.1,4.1,4.5,900,4.1
4.2,3.2,3.4,3.4,3.3,3.3,1800,3.5
4.1,3,3.3,3.2,3.2,3.2,1200,3.3
3.4,2.9,3.6,2.8,3.3,3.4,1550,3.1
4.4,3.4,3.6,4,3.6,2.7,1000,3.8
4.3,3.6,3.9,3.7,3.9,4,1800,3.8
4.4,3.6,3.8,3.7,3.8,3.7,1100,3.8
4.1,2.7,3.2,3.2,3.1,3.1,1600,3.1
4.2,3.2,3.5,3,3.3,3.1,1500,3.4
4.1,3.6,3.8,3.7,3.8,3.4,900,3.8
3.2,3.6,3.9,4,3.9,4.3,1600,3.7
2.6,3,2.9,3,3.1,2.1,900,3
4,3.5,3.7,3.3,3.7,3.3,700,3.5
4.4,3.6,3.8,3.5,3.8,3.4,1500,3.7
4,2.7,3,3,2.9,3.6,2000,3.2
3.3,1.8,1.8,2.8,1.8,1.3,1800,2.3
4,2.9,3.1,3,3.1,3,900,3.2
2,1.9,2.1,2,2.3,1.5,1000,2
3.5,3.4,3.7,3.5,3.7,3.6,1200,3.6
4,4.1,3.9,3.6,3.9,3.6,1500,3.7
3,3.1,3.2,3,2.9,2.5,1300,3.2
4.3,3.5,3.9,3.5,3.9,3.9,1280,3.8
4.4,3.7,3.8,3.8,3.8,3.7,2400,3.9
4.4,3.5,3.8,3.3,3.6,3.6,1700,3.6
4.8,4,4,3.9,4,4.2,2000,4.1
3.9,3.1,3.2,3.2,3.2,3.5,1800,3.3
4,2.8,2.8,2.8,2.9,3.1,1500,3
4,2,2,1.9,2,1.5,1300,2.3
3.9,3.2,3.5,3.3,3.5,4,1900,3.4
4.5,3.5,3.5,3.8,2.5,4,2600,3.9
4.3,3.8,4.1,4.2,4.1,4,2300,4
4.3,3.7,3.6,3.7,3.8,3.7,2400,3.8
4.5,4,4,3.9,4,3,1800,3.8
3.5,3,3,3,3,3,1300,3.3
4.2,3.2,3.5,3.7,3,3.8,2700,3.3
3.8,3,3.5,3.6,3.8,3,1900,3.5
4.1,3.6,3.6,4.1,3.6,3.8,1700,3.8
4.1,4,3.9,3.6,3.9,4,1800,4
4,4,3.9,3.8,3.6,3.5,1500,3.5
3.1,3.3,3.3,3.5,3.3,3,900,3.3
3.1,2.3,2.6,2.9,2.6,2.3,1000,2.7
4,4.1,2.9,4,4,4.1,1800,4
4,4.1,4,4,4,4,2400,4.7
4.3,3.3,3.2,3.2,3.1,3.4,3000,3.4
4.1,3.6,4.2,3,3.7,3.8,2500,3.6
3.3,3.3,3.5,3.5,3.5,3.3,2000,3.4
3.9,2.9,3.1,2.9,3.1,3.4,1900,3.1
4.2,3.4,3.2,3.2,3.2,2.2,1500,3.4
4,3.7,3.8,3.5,3.8,4,1400,3.8
3,3.1,3.4,3.3,3.3,3.2,2300,3.2
4.7,3.6,3.8,4.3,3.8,3.8,1500,3.9
4.5,4.5,4,4,4.2,4,1700,4.4
4.2,2.9,3,2.8,3,3.1,1900,3.7
3.7,2.6,3.1,3,3.1,3,700,3.1
4.5,3.6,3.8,4,3.8,3.7,1350,4
3.7,4,4,4.2,4.1,4.1,1300,4.1
4.5,4.1,4.4,4.5,4.4,4.3,1250,4.4
3.9,3.3,3.7,3.7,3.7,2.8,1000,3.7
4.6,4.1,4.4,4.4,4.4,4,700,4.3
4.3,3.4,3.2,4.2,3.2,4.6,1000,3.8
4.4,4,4.1,4.4,4.1,3.9,550,4.2
3.3,3.3,3.7,3.7,3.7,4,950,3.3
4,4.2,4.3,4.4,4,3.8,1000,4
4.4,3.5,3.4,3.6,3.9,3.2,1300,3.8
4.5,4.5,4.3,4.8,4.3,4.3,2800,4.5
4,4.1,3.9,3.9,4.1,3.9,2000,4.2
3.8,3.6,3.8,4,3.7,3.8,850,3.8
4.5,3.9,4,4.2,4,4.4,1250,4.1
4.4,3.4,3.5,3.5,3.5,3.6,850,3.7
4.1,3.4,3.7,3.8,3.7,3.5,1500,3.7
4.1,3.6,3.6,3.8,3.9,3.7,1000,3.8
4.5,3.8,4.1,4,4.1,3.7,850,4.1
3.7,3.7,3.8,4,3.8,3.6,1050,3.9
4.5,3.9,4,4,3.9,3.9,1250,4
4,3.5,3.5,3.8,3.6,3.5,900,3.7
4.4,3.8,4,3.9,4,4,1250,4
4.2,3.4,3.7,3.8,3.8,3.4,1000,3.8
4.2,3.3,3.5,3.6,3.5,3.8,1250,3.7
4.5,3.8,4,4.2,4,3.8,1100,4.1
4.1,2.9,2.4,3.2,2.4,3.3,1750,3.3
3.8,3.3,3.1,3.6,3.6,4.2,1000,3.6
3.9,2.7,3.7,3.3,3.3,2.8,1000,3.2
4.3,3.5,3.7,3.4,3.7,3,1000,3.7
4.3,3.8,3.8,3.9,3.8,4,1500,3.9
4.7,3.9,4.2,4.2,4.2,4.1,600,4.2
4.3,3.5,3.7,3.8,3.8,3.3,1300,3.8
4.6,3.5,3.6,3.7,3.6,4.2,1500,3.8
4.7,4,4,4.1,4,3.9,1450,4.1
4.6,4.1,4.3,4.3,4.2,4.2,2000,4.3
3.6,3.4,3.8,3.5,3.8,4,750,3.6
2.9,3.1,3,2.6,3.6,3,1000,3.2
3.9,4,3.9,4,3.9,3.7,1500,4
4.3,3.8,4.3,4.2,4.3,4,800,4.2
3.4,3.5,3.6,3.8,3.6,3.2,750,3.9
4.4,3.6,3.7,4,3.7,3.8,1250,3.9
4.4,4.1,4.2,4.4,4.2,4,1300,4.3
4.4,4.2,4.4,4.5,4.4,4,1100,4.4
4.2,3.9,4.2,4.2,4.2,3.9,1100,4.1
4.5,4.1,4.4,4.1,4.4,3.6,1700,4.2
4.6,4.6,4.8,4.8,4.8,4.3,1900,4.7
3.9,4.3,4.5,4.4,4.4,4.1,1400,4.3
4.4,4,4.1,4,4,3.9,2000,4.1
4.5,4.3,4.4,4.6,4.5,4,1500,4.4
